File name,Date,category_name,category_value
20240425,2024-04-25,Autres drogues,6
20240402,2024-04-02,Autres drogues,6
20240412,2024-04-12,Autres drogues,6
20240424,2024-04-24,Autres drogues,6
20240404,2024-04-04,Autres drogues,6
20240407,2024-04-07,Autres drogues,6
20240328,2024-03-28,Autres drogues,6
20240403,2024-04-03,Autres drogues,6
20240409,2024-04-09,Autres drogues,6
20240406,2024-04-06,Autres drogues,6
20240419,2024-04-19,Autres drogues,6
20240417,2024-04-17,Autres drogues,6
20240408,2024-04-08,Autres drogues,6
20240422,2024-04-22,Autres drogues,6
20240418,2024-04-18,Autres drogues,6
20240410,2024-04-10,Autres drogues,6
20240405,2024-04-05,Autres drogues,6
20240416,2024-04-16,Autres drogues,6
20240411,2024-04-11,Autres drogues,6
20240406,2024-04-06,Autres drogues,6
20240422,2024-04-22,Autres drogues,6
20240421,2024-04-21,Autres drogues,6
20240329,2024-03-29,Autres drogues,6
20240407,2024-04-07,Autres drogues,6
20240408,2024-04-08,Autres drogues,6
20240414,2024-04-14,Autres drogues,6
20240413,2024-04-13,Autres drogues,6
20240427,2024-04-27,Autres drogues,6
20240423,2024-04-23,Autres drogues,6
20240420,2024-04-20,Autres drogues,6
20240331,2024-03-31,Autres drogues,6
20240327,2024-03-27,Autres drogues,6
20240424,2024-04-24,Autres drogues,6
20240401,2024-04-01,Autres drogues,6
20240412,2024-04-12,Autres drogues,6
20240405,2024-04-05,Autres drogues,6
20240428,2024-04-28,Autres drogues,6
20240415,2024-04-15,Autres drogues,6
20240330,2024-03-30,Autres drogues,6
20240425,2024-04-25,Benzos,12
20240402,2024-04-02,Benzos,12
20240412,2024-04-12,Benzos,12
20240424,2024-04-24,Benzos,12
20240404,2024-04-04,Benzos,12
20240407,2024-04-07,Benzos,12
20240328,2024-03-28,Benzos,12
20240403,2024-04-03,Benzos,12
20240409,2024-04-09,Benzos,12
20240406,2024-04-06,Benzos,12
20240419,2024-04-19,Benzos,12
20240417,2024-04-17,Benzos,12
20240408,2024-04-08,Benzos,12
20240422,2024-04-22,Benzos,12
